id,file,line,label,encoding,source,fr,status,notes
a827b2e2c97b,scripts/celadon city/dept. store/1st floor.rbc,14,@talk,utf-8,"I'm afraid we will not serve\ncriminals such as you, Rocket.\pI would prefer it if you left our\npremises right away.",,à_traduire,
cffc331c38c8,scripts/celadon city/dept. store/2nd floor counter 1.rbc,28,@talk,utf-8,"Imagine what they would say of us\nif we let you shop here freely!\pNo sur-rey!\nBe gone, criminal!",,à_traduire,
53c9a416ef30,scripts/celadon city/game corner/attendant 1.rbc,4,@main,utf-8,Welcome!\n[.]\l(Uh[.] shouldn't you be out on some\lmission right about now?),,à_traduire,
dae88393d05f,scripts/celadon city/game corner/attendant 2.rbc,4,@main,utf-8,"Welcome to Rocket Game Corner!\n(Er[.] what are you doing running\laround the slots, grunt? Don't you\lhave something better to do?)\lEr-hem!\lWant to buy some coins?",,à_traduire,
5a662dc8afc0,scripts/celadon city/game corner/bill phone call 2.rbc,28,@talk,cp1252,"Bill: Hi there, [player].\nIt's been a while.\pFill me in on the latest Rocket\nnews, if you would.\pOh, now!\c\h08ó The little autistic kid\nknocked you all senseless?\pHahahaha! Sorry, but I find that\nrather humorous. Some kid!\pOh, and what?\c\h08ó Giovanni finally\nrevealed his wartime secrets?\pGood. Then we're fully on the same\npage, now, aren't we?\pI suppose he told you about[.]\c\h08ó\n""The Catastrophe"" as well, then?\p[.]\pYes, yes, that Mewtwo is well shut\noff in Cerulean Cave.\pBut I'm curious[.]\c\h08ó did he happen to\nknow what became of Mew after the\lproject was shut down?\p[.]\c\h08ó\nNo? Very well.\pKeep up the good work, [player].\nYou're a good friend to have.\pI'll talk to you later.",,à_traduire,
cedbf53fd317,scripts/celadon city/game corner/guard grunt.rbc,27,@talk,cp1252,"What are you looking at, grunt?\pDon't go making us look suspicious\nnow!",,à_traduire,
a26b86362525,scripts/celadon city/game corner/guard grunt.rbc,30,@talk2,cp1252,[.]\pI-I[.]\c\h08ó I tried to guard the\nposter[.]\c\h08ó I swear I did!,,à_traduire,
59388c956efe,scripts/celadon city/game corner/guard grunt.rbc,33,@talk3,cp1252,"All right, look[.]\pI may not always do an amazing job\nguarding the entrance to HQ[.]\pBut[.] if only you knew what a\ntough job it was, man!\pI'm sure you'd drop that superior\nattitude right quick!",,à_traduire,
c210b1ab94a0,scripts/celadon city/game corner/rival.rbc,28,@talk,utf-8,Ronnie: This place is too darn\ncrowded. Meet me outside.,,à_traduire,
18626c810147,scripts/celadon city/gym/erika (dialogue edits).rbc,4,@talk,utf-8,"The Rainbowbadge symbolizes pride,\nand is best worn in a parade.\pAhahahaha[.]\nJust kidding.\pIncidentally, I'm out of the TM I\nusually give, so take this one.",,à_traduire,
d0d9aefaa6f9,scripts/celadon city/gym/erika (dialogue edits).rbc,7,@talk2,utf-8,"TM22 is Solarbeam.\pIf you've got the guts in battle,\nspend one turn charging up[.]\lThen POW-POW!\pWouldn't you agree that it's a\nwonderful move?",,à_traduire,
f544b5faf047,scripts/celadon city/gym/erika (dialogue edits).rbc,10,@talk3,utf-8,"I must say, that costume of yours\nis rather distracting.\pI caught myself believing for a\nmoment you were one of those goons\lfrom TV, can you imagine?\pMuch too vulgar for you, I'm sure.",,à_traduire,
8980000c223d,scripts/celadon city/gym/erika.rbc,46,@stolenTalk,utf-8,"Oh, my!\pNow there's a man who goes for\nwhat he wants.\pI'll tell you, darling[.]\pI'd offer you up every [buffer1]\nI own just to see that again.\pOh, but do let me carry on before\nI get too distracted[.]",,à_traduire,
856def6bef5d,scripts/celadon city/gym/gym blocker.rbc,38,@eek,utf-8,Eeeeek!,,à_traduire,
5edbfec9c403,scripts/celadon city/gym/gym blocker.rbc,41,@talk,utf-8,"There's a Rocket in our Gym!\nAnd a[.] man, no less..!\pUnbelievable!\nI say we kick him out right away!",,à_traduire,
e5f250f3ac13,scripts/celadon city/gym/gym blocker.rbc,44,@talk2,utf-8,"Wait[.] huh?\nYou're actually a real Trainer..?\p[.]\pWell, that sure looks like a real\nTrainer Card, anyway[.]\pYou're just[.] wearing a costume\nfor fun?\p[.]\pThat's[.] really funny!\pOh, all right, Trainer!\nCome in, then!",,à_traduire,
20b28f282aed,scripts/celadon city/gym/gym plaque.rbc,4,@text1,cp1252,"Celadon Pokémon Gym\nLeader: Erika\pWinning Trainers:\nBlue, Red",,à_traduire,
0ad865ae974e,scripts/celadon city/gym/gym plaque.rbc,7,@text2,cp1252,"Celadon Pokémon Gym\nLeader: Erika\pWinning Trainers:\nBlue, Red, Mohammed Smith",,à_traduire,
c324ea00a6ff,scripts/celadon city/inside/brolunite.rbc,13,@talk,cp1252,"What's up?\nName's Brolunite, I'm a spriter.\pIf the Rocket higher-ups look as\ngood as they do now, it's thanks\lto me!\pSpeaking of which, not stealing\nPokémon from Trainers can still be\la fun experience[.] I recommend it!",,à_traduire,
f73895da04e7,scripts/celadon city/inside/cash grunt.rbc,11,@talk,cp1252,"Gee, stealing Pokémon is hard\nwork, ain't it?",,à_traduire,
189e46bf5b52,scripts/celadon city/inside/coin case guy.rbc,12,@talk,utf-8,"What are you looking at, chum?\p[.]\pOh, what's that?\pI'm not about to give out my Coin\nCase to some filthy Rocket, that's\lfor sure!",,à_traduire,
f9e50d9d031c,scripts/celadon city/inside/dept store guy.rbc,11,@talk,cp1252,"Captured Pokémon are registered\nwith an ID No. and the OT.\pOT stands for ""Original Trainer"" -\nthe Trainer who caught it first.\p[.]\pHehe, unless you stole the\nPokémon, of course.\pThen it'll be your name.",,à_traduire,
1a87cc1da4cd,scripts/celadon city/inside/easter egg sign.rbc,8,@wall,utf-8,colonelsalt's procrastination room,,à_traduire,
5fd645ed7c8d,scripts/celadon city/inside/haunter guy.rbc,11,@talk,cp1252,"Come on, Haunter! I love Haunter!\nI collect them!\pHuh?\pHaunter turned into a different\nPokémon while being traded!\p[.]\pHaha! Sucks for you that you don't\nhave anyone to trade with, huh?",,à_traduire,
440f32143888,scripts/celadon city/inside/hintgiver.rbc,12,@talk,cp1252,"Psst! I heard there's a basement\nunder the Game Corne--\c\h08ó oh, shoot!\pYou're one of them, aren't you?\nNever mind me, I'm just eating[.]\lTra-la-la-la-la[.]",,à_traduire,
6c42017f9140,scripts/celadon city/inside/magnus.rbc,13,@talk,utf-8,"Magnus: Hello!\nI'm the sound guy for this hack!\pI've made some new tracks based on\nmusic from the original game.\pSee if you can find them!\p[.]\pYou play with the sound off,\ndon't you?",,à_traduire,
f8aa55c0bb15,scripts/celadon city/inside/me.rbc,19,@talk,utf-8,"Sondre: Hi there!\nI made you!\pI bet you're wondering what's\ngoing to happen to you, huh?\pWell, I'm not telling!\pHave fun, and thanks for stopping\nby!",,à_traduire,
675d71439dec,scripts/celadon city/inside/me.rbc,22,@talk2,utf-8,Sondre: [player]!\nI'm so proud of you-- you did it!\pYou should know[.]\pIt's taken me many years of\nprocrastination and broken\lrelationships to get you this far.\pIt's been a wild ride for me and I\nhope it has for you!,,à_traduire,
0427cba7b4f8,scripts/celadon city/inside/meeting room.rbc,8,@wall,utf-8,Non-existant meeting room,,à_traduire,
9b4c92620f22,scripts/celadon city/inside/strange_kid.rbc,13,@talk,utf-8,Drawing pixel art is interesting\nmost times[.]\pBut it will become a pain in the\nass when you just can't make your\lpicture look how you want it to!,,à_traduire,
e6ecbaa7d9a5,scripts/celadon city/inside/stupid grunt.rbc,11,@talk,utf-8,"If you see any suspicious-looking\nTrainers lurking around, make sure\lnot to tell them there's a secret\lswitch behind the poster at the\lGame Corner!\pThat's my strategy, anyway.",,à_traduire,
952b0c63d1b4,scripts/celadon city/inside/tea lady.rbc,12,@talk,utf-8,"I know what you are, young man,\nand I know what you're thinking!\pI'm not about to give you any tea,\nyou know!\pThat's only for good little boys\nand girls! Shame on you!",,à_traduire,
50e105811dd3,scripts/celadon city/inside/top floor guy.rbc,11,@talk,cp1252,"I used to think I had it all\nfigured out, man, but[.]\pNowadays I'm just so confused!\pI mean, how can you play a Pokémon\ngame[.] on a computer?!\p[.]\pThis is too much for me, man.\nI think I'll retire.\pJust take my Eevee.\nSee if I care.",,à_traduire,
23d7db5cfc73,scripts/celadon city/inside/top floor sign.rbc,8,@wall,utf-8,I KNOW NOTHING!,,à_traduire,
f2af9737fed9,scripts/celadon city/outside/bill phone call 1.rbc,28,@talk,cp1252,"Bill: Hey, [player], it's me.\nHaven't heard from you in a while.\pNo major new Rocket events to\nreport? No Silph Co. scoop?\c\h08ó\Fine.\pI'm just calling to tell you I\npassed on one of the gifts you\lgave me from before.\pJust a little while ago some young\nhotshot Trainer kid stopped by my\lhouse and helped me with some\lexperimental hiccups.\pThe kid was borderline mute\nand probably lightly autistic, but\lhe was more intense and focused\lthan any kid Trainer I've ever\lseen-- it was funny.\pEleven years old, and he had\nalready got two Gym Badges!\pSo I gave him my ticket to board\nthe S.S. Anne.\pJust thought you might like to\nknow. Talk to you later.",,à_traduire,
6042153fe07a,scripts/celadon city/outside/fat guy.rbc,11,@talk,cp1252,"Technology is incredible!\p[.]\pOh, wait. That's not my line.\c\h08ó\nStill totally true though!",,à_traduire,
53f836a2505a,scripts/celadon city/outside/grunt 1.rbc,18,@talk,cp1252,"Aw, geez[.]\pSeen any little kids or old people\naround?\pBet you probably just took them\nfor yourself, didn't you?\pFine. Whatever[.]",,à_traduire,
aadaa050a0ce,scripts/celadon city/outside/grunt 1.rbc,21,@talk2,cp1252,"Haha[.] man, you know what's funny?\pThe policeman here[.] He doesn't\neven care whether the Pokémon I\lreturn were even stolen or not.\pSo I just caught a bunch of\nRattata and handed them in so he'd\llower my bounty.\pTalk about a good deal, eh?",,à_traduire,
da8471beffee,scripts/celadon city/outside/grunt 2.rbc,11,@talk,utf-8,Heil Giovanni!\nHe will make Kanto great again!\pExterminate the Johtoanean scum!\p[.]\pHeh. I'm only kidding.\nWas that too dark?,,à_traduire,
172281b2ee62,scripts/celadon city/outside/leto the cutter.rbc,109,@talk,cp1252,"My-my, what's this? Did the good\nTrainer change his mind? Haha!",,à_traduire,
31f0f2dce41d,scripts/celadon city/outside/leto the cutter.rbc,126,@talk2,cp1252,"Behold!\nI have returned!\pLeto, aspiring master Cutter, at\nyour service!\pDo you wish me to Cut down all the\ntrees around Celadon and Lavender?",,à_traduire,
c7d3e726e9c7,scripts/celadon city/outside/leto the cutter.rbc,131,@yesOrNo,cp1252,"A mere [$]1000, and you will bear\nwitness to my Cutting prowess!",,à_traduire,
85db74e48b00,scripts/celadon city/outside/leto the cutter.rbc,134,@yesTalk,cp1252,"Ah! Sir, I daresay you made an\nexcellent choice!\pNow, if you'll allow me[.]",,à_traduire,
e76db3a09a69,scripts/celadon city/outside/leto the cutter.rbc,146,@noTalk,cp1252,"No?\c\h08ó\nWhy, f-fine, then.\pI can see that this region is not\nyet cultured enough to appreciate\lthe fine art of a proper Cut!\pWell, should the good sir ever\nchange his mind, I will never be\lfar away from any of this region's\lexquisite trees, rest assured!\pHmph! Good day.",,à_traduire,
0b0bfc04b6c1,scripts/celadon city/outside/leto the cutter.rbc,149,@notEnoughTalk,cp1252,"What?\nInsufficient funds?\pSir, my asking price is akin to\ngiving it away, I assure you!\pBut[.] if the uncultured folk of\nKanto find it too great an expense\lfor witnessing the finest of fine\lart, then what is a man to do?\pWell, should the good sir ever\nearn the necessary means to afford\lmy services, I will never be\lfar away from any of this region's\lexquisite trees, rest assured!\pHmph! Good day.",,à_traduire,
dd710e916958,scripts/celadon city/outside/leto the cutter.rbc,152,@goodBye,cp1252,"Ah..!\pEach Cut more spectacular than the\nlast! Sheer and utter beauty[.]\pWell[.] should you ever need my\nCutting skills again, by this\lregion's most beautiful trees is\lwhere you'll you find me!\pUntil we meet again!",,à_traduire,
e3186604c870,scripts/celadon city/outside/level script v2.rbc,64,@talk1,cp1252,Ronnie: There you are!,,à_traduire,
d823a21c9c3e,scripts/celadon city/outside/level script v2.rbc,74,@talk2,cp1252,"Okay, [player], I'm going to teach\nyou all there is to know about\lstealing people's Pokémon!\l...\lWhat's that?\lHow am I an expert in Pokémon\lcrime all of a sudden? Okay,\llook-- yeah, I know I just joined\lTeam Rocket, but I'll have you\lknow I came prepared! Immorality\lis my passion, man!",,à_traduire,
220ced2eef92,scripts/celadon city/outside/level script v2.rbc,79,@talk3,cp1252,Come with me!,,à_traduire,
53e94575fdf5,scripts/celadon city/outside/level script v2.rbc,120,@talk4,cp1252,"Er-hem! ""Pokémon Robbery for\nDummies: Chapter one.\lThe first step to any successful\lPokémon heist is to pick a\lsuitable target.""",,à_traduire,
f7505709c377,scripts/celadon city/outside/level script v2.rbc,129,@talk5,cp1252,"Now, seeing as we're only Grunts,\nwe can only steal from kids and\lold people for the time being,\lwhich sucks, but hey-- I'm sure\lwe'll be rising up the ranks in no\ltime flat, so don't worry about\lit. Anyway, point being: we've\lgotta find ourselves an old fart\lor a little brat-- give me a shout\lif you see any.",,à_traduire,
7cca4dc1b7b0,scripts/celadon city/outside/level script v2.rbc,230,@talk6,cp1252,"[player], [player]! Innocent-looking\nschoolgirl six o'clock! Man, this\lis our big chance! Okay, okay,\lokay-- focus, now. Let me see what\lthe experts say next...",,à_traduire,
a143b2c54148,scripts/celadon city/outside/level script v2.rbc,233,@talk7,cp1252,"""Step two: Engage your chosen\ntarget in a Pokémon battle, and\lproceed to defeat them.""",,à_traduire,
475a3871b838,scripts/celadon city/outside/level script v2.rbc,238,@ellipses,cp1252,\c\h08ó.\c\h08ó.\c\h08ó.,,à_traduire,
b9b7f726d7ed,scripts/celadon city/outside/level script v2.rbc,243,@talk8,cp1252,"Well, what are you waiting for? Go\nbeat the crap out of the little\lgirl, now; you heard the experts.\l...\lWhat? Who? Me?\lNaw, c'mon, man; that's-- I mean,\lthat'd be far too easy. Besides,\lyou're the newbie here, aren't\lyou? Yeah, um... I-I'll be right\lbehind you, buddy.",,à_traduire,
034606847531,scripts/celadon city/outside/level script.rbc,70,@talk1,cp1252,Ronnie: There you are!,,à_traduire,
1d91c3103da0,scripts/celadon city/outside/level script.rbc,81,@talk2,cp1252,"Okay, [player], I'm going to teach\nyou all there is to know about\lstealing people's Pokémon!\p[.]\c\h08ó\nWhat's that?\pHow am I an expert in Pokémon\ncrime all of a sudden?\pOkay, look-- yeah, I know I just\njoined Team Rocket, but I'll have\lyou know I came prepared!\pImmorality is my passion, man!",,à_traduire,
b800dfbd1560,scripts/celadon city/outside/level script.rbc,85,@talk3,cp1252,Come with me!,,à_traduire,
a459dadd71e7,scripts/celadon city/outside/level script.rbc,126,@talk4,cp1252,"Er-hem! ""Pokémon Robbery for\nDummies: Chapter one.\pThe first step to any successful\nPokémon heist is to pick a\lsuitable target.""",,à_traduire,
2d9f2cf31df1,scripts/celadon city/outside/level script.rbc,136,@talk5,cp1252,"Now, seeing as we're only grunts,\nwe can only steal from kids and\lold people for the time being,\lwhich sucks.\pBut hey-- I'm sure we'll be rising\nup the ranks in no time flat, so\ldon't worry about it.\pAnyway, point being: we've gotta\nfind ourselves an old fart or a\llittle brat-- give me a shout if\lyou see any.",,à_traduire,
e76b9ed3c7e9,scripts/celadon city/outside/level script.rbc,238,@talk6,cp1252,"[player], [player]! Innocent-looking\nschoolgirl six o'clock!\pMan, this is our big chance!\nOkay, okay, okay-- focus, now.\pLet me see what the experts have\nto say next[.]",,à_traduire,
6407e47f474d,scripts/celadon city/outside/level script.rbc,242,@talk7,cp1252,"""Step two: Engage your chosen\ntarget in a Pokémon battle, and\lproceed to defeat them.""",,à_traduire,
fda802b147df,scripts/celadon city/outside/level script.rbc,247,@ellipses,cp1252,\c\h08ó.\c\h08ó.\c\h08ó.,,à_traduire,
dd30ec516675,scripts/celadon city/outside/level script.rbc,252,@talk8,cp1252,"Well, what are you waiting for?\pGo beat the crap out of the little\ngirl, now! You heard the experts.\p[.]\pWhat?\c\h08ó Who?\c\h08ó\n[.]Me?\pNaw, c'mon, man; that's-- I mean,\nthat'd be far too easy.\pBesides, you're the newbie here,\naren't you?\pYeah, um[.] I-I'll be right behind\nyou, buddy.",,à_traduire,
9cb19d763693,scripts/celadon city/outside/level script.rbc,304,@ronintro,cp1252,"Ronnie: Ah, [player]!\nGood riddance.",,à_traduire,
4c97eb0cb111,scripts/celadon city/outside/level script.rbc,309,@rontalk1,cp1252,Guess who just got a brand new\nbadass mission from Petrel just\lnow?\pThat's right: we're going steal\nthese crazy rare TMs from this old\lcollector guy up in Cerulean!\pIt's going to be sick!,,à_traduire,
e77925b3ed4a,scripts/celadon city/outside/level script.rbc,319,@rontalk2,cp1252,"Yeah, um[.] sorry I got all worked\nup over the whole fossil thing\learlier[.]\pBut hey, it's all good now!\pWhy should I care about some\nstupid old fossils when I've got a\lreal robbery to take care of now,\lright?\pYeah, my time has come now, I can\nfeel it!\p[.]\p[.]\c\h08ó\nOh, what's that?\pYou've got a mission in Cerulean\ntoo? Damn, right on.\pMaybe you'll even get to see me in\naction as I break into the old\lguy's house, then, eh?",,à_traduire,
8bc9df08d9f2,scripts/celadon city/outside/level script.rbc,332,@rontalk3,cp1252,"Well, I guess we better head on\neast of here through Saffron and\lthen north from there to get to\lCerulean.\pDid you hear, they made a secret\nRocket base in the Day-Care Center\lsouth of the city-- how cool is\lthat?\pHow about I meet you there?",,à_traduire,
bc624c62d8f0,scripts/celadon city/outside/level script.rbc,336,@rontalk4,cp1252,"Man, am I ready to do me some\nburglarizing! Talk to you later!",,à_traduire,
403e9ebde28c,scripts/celadon city/outside/little girl.rbc,81,@talk,cp1252,"Oh, hello.\nDo you want to play with me?\p[.]\c\h08ó\nYay!\pYou know, this is my most favorite\nplace in all of Celadon to play--\p[.]\pWhat?\c\h08ó\nOh, Pokémon battle?\pO-okay, I can do that.\pI only have these Pokémon that my\nmom gave me for my birthday, but\lokay.\pBattling seems like fun.\nI've seen it on TV.",,à_traduire,
2c02f622484d,scripts/celadon city/outside/little girl.rbc,85,@prebattle,cp1252,Let's do it!,,à_traduire,
c68a7d929a1e,scripts/celadon city/outside/little girl.rbc,90,@postbattle,cp1252,"Wow, you beat me!",,à_traduire,
5470340781c7,scripts/celadon city/outside/little girl.rbc,95,@whining,cp1252,"Well, that was fun.\p[.]\pHuh?\pHey, no please-- what are you\ndoing? Let me go!",,à_traduire,
e073a0b21ee2,scripts/celadon city/outside/little girl.rbc,108,@rivaltalk,cp1252,"Ronnie: Oh man, oh man, oh man!\nYou did it, [player]!\pNow, for the final step!\nMan, I'm itching with excitement.",,à_traduire,
28a4ceb18c30,scripts/celadon city/outside/little girl.rbc,112,@rivaltalk2,cp1252,"""Step three: Having successfully\ndefeated your chosen target, you\lmay now force him or her to hand\lover one of their Pokémon, as far\las your rank within your\lorganization of choice allows.",,à_traduire,
